1881089711	This Land: A History of the United States, Volume 2	'Philip J. Deloria', 'Patricia Nelson Limerick', 'Jack N. Rakove', 'David Burner'	72.95	Paperback	Wiley-Blackwell
9780099520481	Small Memories	Jose Saramago and Margaret Jull Costa	13.95	Paperback	Vintahe Books
9780099520481	Small Memories	Jose Saramago and Margaret Jull Costa	14.95	Paperback	Vintahe Books
9780099520481	Small Memories	Jose Saramago and Margaret Jull Costa	15.95	Paperback	Vintahe Books
9780140587647	The Descent of Alette (Penguin Poets)	Alice Notley	20	Paperback	Penguin Books
9780156262248	Down and Out in Paris and London	George Orwell	14.95	Paperback	Harvest
9780199739967	Animal Rights: What Everyone Needs to Know®	Paul Waldau	16.95	Paperback	Oxford University Press
9780231122450	Water from Heaven: The Story of Water from the Big Bang to the Rise of Civilization, and Beyond	Robert Kandel	27	Paperback	Columbia University Press
9780231168816	Who's Afraid of Academic Freedom?	‘Jonathan Cole, ‘Akeel Bilgrami’	27	Paperback	Columbia University Press
9780252082542	Radical Gotham: Anarchism in New York City from Schwab's Saloon to Occupy Wall Street	Tom Goyens	28	Paperback	University of Illinois Press
9780262633376	Discrepant Abstraction (Annotating Art's Histories: Cross-Cultural Perspectives in the Visual Arts)	Kobena Mercer	28.95	Paperback	The MIT Press
9780300118056	Love and Language	'Ilan Stavans', 'Verónica Albin'	25	Hardcover	Yale University Press
9780300118056	Love and Language	'Ilan Stavans', 'Verónica Albin'	25	Hardcover	Yale University Press
9780300216929	The History of Rock 'n' Roll in Ten Songs	Greil Marcus	16	Paperback	Yale University Press
9780385049603	Rip Off the Big Game	Paul Hoch	5	Mass Market Paperback	Doubleday
9780399579660	The Ethical Slut, Third Edition: A Practical Guide to Polyamory, Open Relationships, and Other Freedoms in Sex and Love	'Janet W. Hardy', 'Dossie Easton'	18.99	Paperback	Ten Speed Press
9780415991407	Readings for Diversity and Social Justice, Second Edition	Maurianne Adams	57.95	Paperback	Routledge
9780470843314	Houses in Motion: The Genesis, History and Development of the Portable Building	Robert H. Kronenburg	75	Paperback	Academy Press
9780470843314	Houses in Motion: The Genesis, History and Development of the Portable Building	Robert H. Kronenburg	75	Paperback	Academy Press
9780520282759	The Land of Open Graves: Living and Dying on the Migrant Trail (California Series in Public Anthropology)	Jason De Leon	29.95	Paperback	University of California Press
9780553447453	Evicted: Poverty and Profit in the American City	Matthew Desmond	17	Paperback	Broadway Books
9780745336220	Burning Country: Syrians in Revolution and War	'Robin Yassin-Kassab', 'Leila Al-Shami'	24	Paperback	Pluto Press
9780747563891	Where You're At: Notes from the Frontline of a Hip Hop Planet	Patrick Neate	5	Paperback	Bloomsbury Publishing PLC
9780806125299	Deep Enough: A Working Stiff in the Western Mine Camps	Frank A. Crampton	24.95	Paperback	University of Oklahoma Press
9780813526379	Sex Ed: Film, Video, and the Framework of Desire	Robert Eberwein	22	Paperback	Rutgers University Press
9780814326459	Let's Flip the Script: An African American Discourse on Language, Literature, and Learning (African American Life Series)	Keith Gilyard	19.95	Paperback	Wayne State University Press
9780814326893	African Americans, Labor, and Society: Organizing for a New Agenda (African American Life Series)	Patrick Mason	34.95	Hardcover	Wayne State University Press
9780815412250	BAT CHAIN PULLER PB	Kurt Loder	5	Paperback	RL
9780822319238	Guy Hocquenghem: Beyond Gay Identity	Bill Marshall	22.95	Paperback	Duke University Press Books
9780822319238	Guy Hocquenghem: Beyond Gay Identity	Bill Marshall	22.95	Paperback	Duke University Press Books
9780822334132	Dark Designs and Visual Culture	Michele Wallace	27.95	Paperback	Duke University Press Books
9780822334132	Dark Designs and Visual Culture	Michele Wallace	27.95	Paperback	Duke University Press Books
9780822361664	Beyond the Whiteness of Whiteness: Memoir of a White Mother of Black Sons	Jane Lazarre	22.95	Paperback	Duke University Press Books
9780822368175	Decolonizing the Transgender Imaginary (Transgender Studies Quarterly)	'Aren Z. Aizura', 'Salvador Vidal-Ortiz', 'Marcia Ochoa', 'Carsten Balzer', 'Trystan Cotton'	12	Paperback	Duke University Press Books
9780851703107	Diary of a Young Soul Rebel	'Isaac Julien', 'Colin MacCabe'	5.25	Paperback	British Film Inst
9780851703107	Diary of a Young Soul Rebel	'Isaac Julien', 'Colin MacCabe'	5.25	Paperback	British Film Inst
9780865717879	The Scoop on Poop: Safely Capturing and Recycling the Nutrients in Greywater, Humanure, and Urine	Dan Chiras	32.95	Paperback	New Society Publishers
9780865718319	Power from the Wind: A Practical Guide to Small-Scale Energy Production	Dan Chiras	29.99	Paperback	New Society Publishers
9780930741815	Body Politics: The Female Image in Luba Art and the Sculpture of Alison Saar (Monograph)	'Mary Nooter Roberts', 'Alison Saar'	25	Paperback	UCLA Fowler Museum of Cultural History
9780935028041	Land Justice: Re-imagining Land, Food, and the Commons	Justine Williams	24.95	Paperback	Food First Books
9780948462665	Fragments of the European City (Topographics)	Stephen Barber	18.95	Paperback	Reaktion Books
9780948462665	Fragments of the European City (Topographics)	Stephen Barber	18.95	Paperback	Reaktion Books
9780948462665	Fragments of the European City (Topographics)	Stephen Barber	18.95	Paperback	Reaktion Books
9780988716254	Having Loved	Judith Malina	14	Paperback	Fast Books
